"PMN01","PMN011","PMN02","PMN03","PMN04","PMN041","PMN05","PMN06","PMN07","PMN08","PMN09","PMN10","PMN11","PMN121","PMN122","PMN123","PMN13","PMN14","PMN15","PMN16","PMN18","PMN20","PMN23","PMN24","PMN25","PMN30","PMN31","PMN31T","PMN32","PMN33","PMN34","PMN35","PMN36","PMN37","PMN38","PMN40","PMN41","PMN42","PMN43","PMN431","PMN44","PMN45","PMN46","PMN50","PMN51","PMN52","PMN53","PMN54","PMN55","PMN56","PMN57","PMN58","PMN59","PMN60","PMN61","PMN62","PMN63","PMN64","PMN65","PMN66","PMN67","PMN68","PMN69","PMN70","PMN71","PMN80","PMN81","PMN82","PMN83","PMN84","PMN85","PMN86","PMN87","PMN88","PMN88T","PMN930","PMN401","PMN90","PMN94","PMN95","PMN96","PMN97","PMN98","PMN91","PMNUD01","PMNUD02","PMNUD03","PMNUD04","PMNUD05","PMNUD06","PMNUD07","PMNUD08","PMNUD09","PMNUD10","PMNUD11","PMNUD12","PMNUD13","PMNUD14","PMNUD15","PMN89","PMN72","PMN73","PMN74","PMN75","PMN76","PMN77","PMNPLANT","PMNLEGAL","PMN012","PMN919","PMN99","PMN78","PMN100"
"PN02-18030031","REG","17","","9949-8000-4202","AVSS Controller  Card(2)","","","PCS","PCS","1.00000000","","N","","PC0025","","20.0000","Y","Y","8","","50.000","","PQ01-18010025","13","","9068.376100","10610.000000","","18/06/13","18/06/13","18/06/13","18/04/23","","Y","1403","","0","","","9068.376100","","","0.000","0.000"," ","0.000"," ","0.000"," ","-50.000","0.000","","","9949-8000-4202","1.0000","N","N","1","","D0010","","","","","","","","","","","PCS","50.000","453418.800000","530500.000000","","","0.000000","","","9949-01"," ","2112","","","","","","","","9068.510000","10610.160000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","","","",""
"PN02-18030031","REG","18","","9949-8000-1504","DVR Controller PCBA","","","PCS","PCS","1.00000000","","N","","PC0025","","20.0000","Y","Y","8","","50.000","","PQ01-18010025","12","","8468.376100","9908.000000","","18/06/13","18/06/13","18/06/13","18/04/23","","Y","1403","","0","","","8468.376100","","","0.000","0.000"," ","0.000"," ","0.000"," ","-50.000","0.000","","","9949-8000-1504","1.0000","N","N","1","","D0010","","","","","","","","","","","PCS","50.000","423418.800000","495400.000000","","","0.000000","","","9949-01"," ","2113","","","","","","","","8468.510000","9908.160000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","","","",""
"PN02-18030031","REG","19","","9949-8000-9202","IDS Controller PCBA","","","PCS","PCS","1.00000000","","N","","PC0025","","20.0000","Y","Y","8","","50.000","","PQ01-18010025","11","","1268.376100","1484.000000","","18/06/13","18/06/13","18/06/13","18/04/23","","Y","1403","","0","","","1268.376100","","","0.000","0.000"," ","0.000"," ","0.000"," ","-50.000","0.000","","","9949-8000-9202","1.0000","N","N","1","","D0010","","","","","","","","","","","PCS","50.000","63418.800000","74200.000000","","","0.000000","","","9949-01"," ","2111","","","","","","","","1268.510000","1484.160000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","","","",""
"PN02-18030031","REG","20","","9949-8000-9203","SEPDS Controller PCBA","","","PCS","PCS","1.00000000","","N","","PC0025","","20.0000","Y","Y","8","","100.000","","PQ01-18010025","10","","1268.376100","1484.000000","","18/06/13","18/06/13","18/06/13","18/04/23","","Y","1403","","0","","","1268.376100","","","0.000","0.000"," ","0.000"," ","0.000"," ","-100.000","0.000","","","9949-8000-9203","1.0000","N","N","1","","D0010","","","","","","","","","","","PCS","100.000","126837.610000","148400.000000","","","0.000000","","","9949-01"," ","2101","","","","","","","","1268.510000","1484.160000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","","","",""
"PN02-18030031","REG","21","","9949-8000-7201","IID Video Receiver","","","PCS","PCS","1.00000000","","N","","PC0025","","20.0000","Y","Y","8","","100.000","","PQ01-18010025","9","","2068.376100","2420.000000","","18/06/13","18/06/13","18/06/13","18/04/23","","Y","1403","","0","","","2068.376100","","","0.000","0.000"," ","0.000"," ","0.000"," ","-100.000","0.000","","","9949-8000-7201","1.0000","N","N","1","","D0010","","","","","","","","","","","PCS","100.000","206837.610000","242000.000000","","","0.000000","","","9949-01"," ","2107","","","","","","","","2068.510000","2420.160000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","","","",""
"PN03-18030006","EXP","1","","MISC","DTL 3台LCD屏维修支付费用","","","PCS","PCS","1.00000000","","N","1.00000000","PC0006","","10.0000","Y","Y","8","","3.000","","PQ03-18010015","1","","884.615400","1035.000000","","18/03/23","18/03/23","18/03/23","18/03/21","","Y","50010306","","0","","","884.615400","","","0.000","0.000"," ","0.000"," ","0.000"," ","-3.000","0.000","","","MISC","1.0000","N","N","1","","D0013","","","","","","","","","","","PCS","3.000","2653.850000","3105.000000","","","0.000000","","","9925-01"," ","3106","","","","","","","","1035.000000","1210.950000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","","","",""
"PN02-18030031","REG","23","","9949-8000-3201","PEI MMI Interface PCBA","","","PCS","PCS","1.00000000","","N","","PC0025","","20.0000","Y","Y","8","","100.000","","PQ01-18010025","7","","3118.376100","3648.500000","","18/06/13","18/06/13","18/06/13","18/04/23","","Y","1403","","0","","","3118.376100","","","0.000","0.000"," ","0.000"," ","0.000"," ","-100.000","0.000","","","9949-8000-3201","1.0000","N","N","1","","D0010","","","","","","","","","","","PCS","100.000","311837.610000","364850.000000","","","0.000000","","","9949-01"," ","2105","","","","","","","","3118.510000","3648.660000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","","","",""
"PN03-18030016","EXP","1","","MISC","Transportation claims for Hongkong MTR support service","","","PCS","PCS","1.00000000","","N","1.00000000","PC0035","","10.0000","Y","Y","8","","1.000"," ","PQ03-18030027","1","0.000000","2230.000000","2230.000000","0","18/04/13","18/04/13","18/04/13","18/03/30","","Y","50010301","","0","","","14117.238000","","0","0.000","0.000"," ","0.000"," ","0.000"," ","-1.000","0.000"," ","0","MISC","1.0000","N","N","1","","D0013","","0","","","","","","","","","PCS","1.000","2230.000000","2230.000000","","","0.000000","","0","9960-01"," ","3101","","","","","","","","2230.000000","2230.000000","","","0","0","99/12/31","99/12/31","99/12/31","","","4","","","0","","SHXK_STE","SHXK_STE"," ","",""," ",""
"PN03-18030019","EXP","1","","MISC09","DRMD维修","","","PCS","PCS","1.00000000","","N","1.00000000","PC3002","","10.0000","Y","Y","8","","1.000"," ","PQ01-18010112","1","0.000000","3880.341900","4540.000000","0","18/04/27","18/04/27","18/04/27","18/04/18","","Y","500102","","0","","","3880.341900","","0","0.000","0.000","K001","0.000"," ","0.000"," ","-1.000","0.000"," ","0","MISC09","1.0000","N","N","1","","D0009","","0","","","","","","","","","PCS","1.000","3880.340000","4540.000000","","","0.000000","","0","0032-01"," ","2101","","","","","","","","3880.400000","3880.400000","","","0","0","99/12/31","99/12/31","99/12/31","","","4","","","0","","SHXK_STE","SHXK_STE"," ","",""," ",""
"PN03-18030018","EXP","1","","MISC09","TLCD维修","","","PCS","PCS","1.00000000","","N","1.00000000","PC3004","","10.0000","Y","Y","8","","1.000"," ","PQ01-18010113","1","0.000000","995.726500","1165.000000","0","18/04/27","18/04/27","18/04/27","18/04/18","","Y","","","0","","","995.726500","","0","0.000","0.000","K001","0.000"," ","0.000"," ","-1.000","0.000"," ","0","MISC09","1.0000","N","N","1","","D0009","","0","","","","","","","","","PCS","1.000","995.730000","1165.000000","","","0.000000","","0","3004-01"," ","2101","","","","","","","","995.800000","995.800000","","","0","0","99/12/31","99/12/31","99/12/31","","","4","","","0","","SHXK_STE","SHXK_STE"," ","",""," ",""
"PN03-18030018","EXP","2","","MISC09","LCD维修","","","PCS","PCS","1.00000000","","N","1.00000000","PC3004","","10.0000","Y","Y","8","","1.000"," ","PQ01-18010113","2","0.000000","854.700900","1000.000000","0","18/04/27","18/04/27","18/04/27","18/04/18","","Y","","","0","","","854.700900","","0","0.000","0.000","K001","0.000"," ","0.000"," ","-1.000","0.000"," ","0","MISC09","1.0000","N","N","1","","D0009","","0","","","","","","","","","PCS","1.000","854.700000","1000.000000","","","0.000000","","0","3004-01"," ","2101","","","","","","","","854.800000","854.800000","","","0","0","99/12/31","99/12/31","99/12/31","","","4","","","0","","SHXK_STE","SHXK_STE"," ","",""," ",""
"PN03-18030018","EXP","3","","MISC09","LCD维修","","","PCS","PCS","1.00000000","","N","1.00000000","PC3004","","10.0000","Y","Y","8","","1.000"," ","PQ01-18010113","3","0.000000","854.700900","1000.000000","0","18/04/27","18/04/27","18/04/27","18/04/18","","Y","","","0","","","854.700900","","0","0.000","0.000","K001","0.000"," ","0.000"," ","-1.000","0.000"," ","0","MISC09","1.0000","N","N","1","","D0009","","0","","","","","","","","","PCS","1.000","854.700000","1000.000000","","","0.000000","","0","3004-01"," ","2101","","","","","","","","854.800000","854.800000","","","0","0","99/12/31","99/12/31","99/12/31","","","4","","","0","","SHXK_STE","SHXK_STE"," ","",""," ",""
"PN03-18030009","EXP","1","","MISC","HKTA 1033 Issue7 认证","","","PCS","PCS","1.00000000","","N","1.00000000","PC0058","","10.0000","Y","Y","8","","1.000","","PQ03-18020013","1","0.000000","472.000000","472.000000","","18/04/15","18/04/15","18/04/16","18/03/23","","Y","50010304","","0","","","2988.043200","","","0.000","0.000"," ","0.000"," ","0.000"," ","-1.000","0.000","","","MISC","1.0000","N","N","1","","D0013","","","","","","","","","","","PCS","1.000","472.000000","472.000000","","","0.000000","","","0058-01"," ","3104","","","","","","","","472.000000","472.000000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","",""," ",""
